,precision,recall,f1-score,support
0,0.0,0.0,0.0,205.0
1,0.0,0.0,0.0,205.0
2,0.2030716723549488,0.6134020618556701,0.30512820512820515,194.0
3,0.17511520737327188,0.19095477386934673,0.18269230769230768,199.0
accuracy,0.19551681195516812,0.19551681195516812,0.19551681195516812,0.19551681195516812
macro avg,0.09454671993205517,0.2010892089312542,0.12195512820512822,803.0
weighted avg,0.09245807061536883,0.19551681195516812,0.11899208097838235,803.0
